li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
6,5,2,5,0.6993,0.7071,0.9999,0.6343,0.0403
6,5,2,6,0.9758,0.9848,0.9987,0.9712,0.0108
6,5,2,7,0.7301,0.6890,0.9925,0.6676,0.0676
6,5,2,8,0.6014,0.7419,0.9968,0.5161,0.0319
6,5,2,9,0.6734,0.6406,0.9934,0.6024,0.0367
6,5,2,10,0.8938,0.8699,0.9923,0.8758,0.0565
6,5,2,11,0.9959,0.9950,0.9999,0.9952,0.0059
6,5,3,0,0.9776,0.9784,0.9968,0.9774,0.0349
6,5,3,1,0.9808,0.9780,0.9978,0.9771,0.0184
6,5,3,2,0.6494,0.6254,0.9990,0.5699,0.0448
6,5,3,3,0.8439,0.8694,0.9953,0.8133,0.0262
6,5,3,4,0.9822,0.9804,0.9984,0.9822,0.0333
6,5,3,5,0.9813,0.9801,0.9983,0.9778,0.0114
6,5,3,6,0.8117,0.7794,0.9956,0.7713,0.0473
6,5,3,7,0.7457,0.7003,0.9611,0.6930,0.0354
6,5,3,8,0.8343,0.8147,0.9994,0.7999,0.0443
6,5,3,9,0.7683,0.7706,0.9981,0.7205,0.0321
6,5,3,10,0.9850,0.9801,0.9953,0.9822,0.0140
6,5,3,11,0.7148,0.7927,0.9982,0.6540,0.0341
6,5,4,0,0.6067,0.8354,0.9359,0.5383,0.0267
6,5,4,1,0.9092,0.9019,0.9999,0.8915,0.0248
6,5,4,2,0.9862,0.9854,0.9999,0.9853,0.0229
6,5,4,3,0.9218,0.9174,0.9985,0.9064,0.0198
6,5,4,4,0.9921,0.9918,1.0000,0.9913,0.0154
6,5,4,5,0.9425,0.9191,0.9999,0.9313,0.0279
6,5,4,6,0.9743,0.9742,0.9957,0.9700,0.0230
6,5,4,7,0.6546,0.6194,0.9651,0.5827,0.0306
6,5,4,8,0.9879,0.9899,0.9998,0.9860,0.0119
6,5,4,9,0.8266,0.8445,0.9886,0.7900,0.0432
6,5,4,10,0.9854,0.9854,0.9978,0.9850,0.0275
6,5,4,11,0.3177,0.4500,0.8083,0.2207,0.0400
6,5,5,0,0.9816,0.9809,0.9968,0.9808,0.0278
6,5,5,1,0.9749,0.9730,0.9976,0.9754,0.0400
6,5,5,2,0.8899,0.9116,0.9789,0.8677,0.0316
6,5,5,3,0.9579,0.9438,0.9789,0.9502,0.0273
6,5,5,4,0.9279,0.9128,0.9980,0.9142,0.0348
6,5,5,5,0.9806,0.9791,0.9991,0.9802,0.0306
6,5,5,6,0.9673,0.9606,0.9996,0.9614,0.0237
6,5,5,7,0.9614,0.9482,0.9968,0.9543,0.0167
6,5,5,8,0.9704,0.9603,1.0000,0.9655,0.0176
6,5,5,9,0.9848,0.9828,0.9982,0.9847,0.0305
6,5,5,10,0.9253,0.9148,0.9905,0.9107,0.0238
6,5,5,11,0.9883,0.9895,0.9997,0.9862,0.0110
6,5,6,0,0.8286,0.8595,0.9870,0.7924,0.0498
6,5,6,1,0.9737,0.9714,0.9987,0.9695,0.0202
6,5,6,2,0.9930,0.9928,0.9991,0.9924,0.0148
6,5,6,3,0.9199,0.9320,0.9989,0.9041,0.0337
6,5,6,4,0.9825,0.9817,0.9994,0.9793,0.0114
6,5,6,5,1.0000,1.0000,1.0000,1.0000,0.0000
6,5,6,6,0.9857,0.9853,0.9999,0.9833,0.0133
6,5,6,7,0.9425,0.9413,0.9896,0.9313,0.0238
6,5,6,8,0.9591,0.9554,0.9993,0.9513,0.0227
