li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
3,8,7,10,0.6870,0.6876,0.9252,0.6461,0.0794
3,8,7,11,0.6980,0.7067,0.9339,0.6556,0.0742
3,8,8,0,0.7435,0.7460,0.9393,0.7024,0.0615
3,8,8,1,0.6953,0.6915,0.9225,0.6541,0.0765
3,8,8,2,0.7951,0.8173,0.9949,0.7483,0.0367
3,8,8,3,0.7385,0.7437,0.9396,0.6943,0.0572
3,8,8,4,0.8056,0.8346,0.9548,0.7683,0.0404
3,8,8,5,0.8478,0.8502,1.0000,0.8113,0.0230
3,8,8,6,0.7084,0.7251,0.9372,0.6614,0.0601
3,8,8,7,0.7954,0.8464,0.9328,0.7588,0.0442
3,8,8,8,0.7935,0.8267,0.9946,0.7482,0.0315
3,8,8,9,0.7720,0.7853,0.9570,0.7272,0.0455
3,8,8,10,0.7831,0.7877,0.9817,0.7393,0.0432
3,8,8,11,0.7045,0.7041,0.9466,0.6617,0.0722
3,8,9,0,0.7006,0.7331,0.9889,0.6479,0.0537
3,8,9,1,0.6999,0.7015,0.9229,0.6582,0.0748
3,8,9,2,0.7233,0.7577,0.9839,0.6735,0.0491
3,8,9,3,0.8472,0.8730,0.9757,0.8149,0.0337
3,8,9,4,0.7136,0.7092,0.9373,0.6707,0.0681
3,8,9,5,0.7418,0.7586,0.9894,0.6958,0.0509
3,8,9,6,0.6892,0.6912,0.9273,0.6480,0.0786
3,8,9,7,0.7667,0.7972,0.9947,0.7145,0.0316
3,8,9,8,0.7085,0.7367,0.9746,0.6629,0.0636
3,8,9,9,0.6891,0.6906,0.9277,0.6479,0.0784
3,8,9,10,0.7552,0.7964,0.9411,0.7068,0.0373
3,8,9,11,0.6915,0.6909,0.9255,0.6505,0.0784
3,8,10,0,0.7059,0.7119,0.9488,0.6635,0.0715
3,8,10,1,0.6956,0.7073,0.9271,0.6531,0.0742
3,8,10,2,0.7000,0.6979,0.9346,0.6583,0.0749
3,8,10,3,0.7424,0.7525,0.9572,0.6998,0.0593
3,8,10,4,0.7428,0.7877,0.9948,0.6861,0.0289
3,8,10,5,0.7359,0.7636,0.9542,0.6868,0.0430
3,8,10,6,0.7382,0.7684,0.9701,0.6920,0.0514
3,8,10,7,0.7463,0.7611,0.9863,0.6987,0.0457
3,8,10,8,0.6909,0.6906,0.9287,0.6492,0.0778
