li,hi,lj,hj,cosine,wavelet,energy_profile,pearson,emd
0,3,4,11,0.1746,0.3098,0.9751,-0.0427,0.0312
0,3,5,0,0.1714,0.3788,0.9976,-0.0825,0.0316
0,3,5,1,0.1630,0.3519,0.9983,-0.0567,0.0186
0,3,5,2,0.2126,0.4603,0.9766,-0.0738,0.0435
0,3,5,3,0.1851,0.3683,0.9961,-0.0370,0.0226
0,3,5,4,0.0906,0.3303,0.9999,-0.1270,0.0147
0,3,5,5,0.1540,0.3945,0.9997,-0.0861,0.0260
0,3,5,6,0.1125,0.3402,0.9977,-0.1050,0.0146
0,3,5,7,0.0954,0.3374,1.0000,-0.0935,0.0105
0,3,5,8,0.1932,0.5650,0.9999,-0.0572,0.0345
0,3,5,9,0.1844,0.3941,0.9746,-0.1182,0.0422
0,3,5,10,0.1454,0.3611,0.9974,-0.0890,0.0253
0,3,5,11,0.0924,0.3341,1.0000,-0.0994,0.0110
0,4,0,0,0.6400,0.7729,0.9106,0.2766,0.0168
0,4,0,1,0.3588,0.6721,0.9535,0.0195,0.0212
0,4,0,2,0.3960,0.6444,0.9420,0.2784,0.0801
0,4,0,3,0.4890,0.5869,0.9997,0.3260,0.0538
0,4,0,4,1.0000,1.0000,1.0000,1.0000,0.0000
0,4,0,5,0.4282,0.7013,0.9968,0.1388,0.0248
0,4,0,6,0.3744,0.5681,0.9997,0.0135,0.0161
0,4,0,7,0.3728,0.7579,0.9615,0.1139,0.0352
0,4,0,8,0.4769,0.7416,0.9971,0.2148,0.0303
0,4,0,9,0.4077,0.5628,0.9985,0.1961,0.0417
0,4,0,10,0.3833,0.5952,0.8997,0.2383,0.0705
0,4,0,11,0.6012,0.6973,0.9986,0.4180,0.0304
0,4,1,0,0.1944,0.4775,0.8753,0.0354,0.0897
0,4,1,1,0.5270,0.6637,0.9988,0.3321,0.0480
0,4,1,2,0.5229,0.7247,0.9993,0.3132,0.0440
0,4,1,3,0.5860,0.7064,0.9906,0.4033,0.0309
0,4,1,4,0.7853,0.7922,1.0000,0.7445,0.0436
0,4,1,5,0.7011,0.7740,0.9668,0.5295,0.0242
0,4,1,6,0.3224,0.5365,0.9959,0.0512,0.0365
0,4,1,7,0.5410,0.6725,0.9540,0.3211,0.0257
0,4,1,8,0.8623,0.8745,1.0000,0.8233,0.0318
0,4,1,9,0.1729,0.4960,0.8664,0.0065,0.0890
0,4,1,10,0.3814,0.5540,1.0000,0.1608,0.0411
0,4,1,11,0.5498,0.6370,0.9997,0.3578,0.0386
0,4,2,0,0.3975,0.5765,0.8959,0.2123,0.0496
0,4,2,1,0.6040,0.7505,0.9968,0.3821,0.0090
0,4,2,2,0.5747,0.7330,0.9656,0.4072,0.0279
0,4,2,3,0.3009,0.4745,0.8873,0.1511,0.0787
0,4,2,4,0.6122,0.7381,0.9727,0.4057,0.0131
0,4,2,5,0.4333,0.5743,0.8949,0.2726,0.0518
0,4,2,6,0.4253,0.5854,0.9187,0.2372,0.0406
0,4,2,7,0.3780,0.5481,0.9112,0.2060,0.0614
0,4,2,8,0.4581,0.5944,0.9453,0.2702,0.0344
0,4,2,9,0.5087,0.6706,0.9621,0.3299,0.0380
0,4,2,10,0.5054,0.6655,0.9541,0.3137,0.0340
0,4,2,11,0.3686,0.5330,0.8956,0.2012,0.0630
0,4,3,0,0.5119,0.6557,0.9697,0.3056,0.0270
0,4,3,1,0.3839,0.5474,0.8953,0.2042,0.0504
0,4,3,2,0.3361,0.5080,0.9027,0.1718,0.0668
0,4,3,3,0.3174,0.4909,0.8886,0.1509,0.0676
0,4,3,4,0.3732,0.5797,0.9079,0.2031,0.0662
0,4,3,5,0.4989,0.6302,0.9061,0.2929,0.0279
0,4,3,6,0.2880,0.4799,0.8982,0.1437,0.0831
0,4,3,7,0.2756,0.4731,0.8945,0.1289,0.0834
0,4,3,8,0.5270,0.6299,0.9996,0.3428,0.0350
0,4,3,9,0.3587,0.5152,0.9275,0.1843,0.0594
0,4,3,10,0.3520,0.5296,0.8593,0.1734,0.0590
0,4,3,11,0.3191,0.5104,0.9131,0.1582,0.0694
0,4,4,0,0.3394,0.5204,0.8776,0.1552,0.0629
0,4,4,1,0.3500,0.5209,0.8836,0.1649,0.0572
0,4,4,2,0.4338,0.6273,0.9573,0.1846,0.0270
0,4,4,3,0.2680,0.5401,0.9169,0.0591,0.0573
0,4,4,4,0.2491,0.5196,0.8991,0.0199,0.0572
0,4,4,5,0.2533,0.5916,0.8834,0.0027,0.0440
0,4,4,6,0.3046,0.4816,0.9048,0.1513,0.0764
0,4,4,7,0.3631,0.5244,0.8666,0.1809,0.0541
0,4,4,8,0.2988,0.6687,0.9788,-0.0349,0.0316
0,4,4,9,0.2658,0.4626,0.8859,0.0973,0.0770
0,4,4,10,0.3756,0.5736,0.9700,0.0644,0.0228
0,4,4,11,0.2958,0.5693,0.9693,-0.0209,0.0253
0,4,5,0,0.4303,0.6629,0.9990,0.1271,0.0269
0,4,5,1,0.3538,0.5788,0.9994,0.0654,0.0400
0,4,5,2,0.4530,0.6934,0.9816,0.0978,0.0191
0,4,5,3,0.4467,0.6345,0.9980,0.1901,0.0388
0,4,5,4,0.3029,0.5633,0.9994,0.0225,0.0478
0,4,5,5,0.3753,0.6078,1.0000,0.0709,0.0360
0,4,5,6,0.3440,0.5807,0.9991,0.0741,0.0491
0,4,5,7,0.3387,0.6007,0.9997,0.1139,0.0568
0,4,5,8,0.4066,0.6986,1.0000,0.0854,0.0261
0,4,5,9,0.4586,0.6692,0.9798,0.1021,0.0213
